"","party","div001.970519","div002.970520","div003.970520","div004.970520","div005.970522","div006.970602","div007.970602","div008.970603","div009.970603","div010.970604","div011.970604","div012.970604","div013.970604","div014.970604","div015.970605","div016.970605","div017.970605","div018.970605","div019.970605","div020.970605","div021.970609","div022.970609","div023.970610","div024.970610","div025.970610","div026.970610","div027.970611","div028.970611","div029.970616","div030.970617","div031.970618","div032.970618","div033.970618","div034.970618","div035.970618","div036.970618","div037.970619","div038.970624","div039.970625","div040.970625","div041.970625","div042.970707","div043.970707","div044.970707","div045.970707","div046.970707","div047.970707","div048.970708","div049.970708","div050.970708","div051.970709","div052.970710","div053.970714","div054.970714","div055.970714","div056.970715","div057.970715","div058.970715","div059.970716","div060.970716","div061.970716","div062.970717","div063.970721","div064.970722","div065.970724","div066.970724","div067.970728","div068.970728","div069.970728","div070.970728","div071.970729","div072.970729","div073.970729","div074.970729","div075.970730","div076.970730","div077.971103","div078.971103","div079.971103","div080.971104","div081.971104","div082.971104","div083.971104","div084.971106","div085.971110","div086.971111","div087.971112","div088.971117","div089.971117","div090.971119","div091.971119","div092.971124","div093.971124","div094.971124","div095.971124","div096.971124","div097.971124","div098.971125","div099.971126","div100.971128","div101.971201","div102.971201","div103.971202","div104.971203","div105.971209","div106.971209","div107.971209","div108.971209","div109.971209","div110.971209","div111.971210","div112.971210","div113.971210","div114.971210","div115.971210","div116.971210","div117.971210","div118.971211","div119.971211","div120.971216","div121.971217","div122.971217","div123.971217","div124.971218","div125.971222","div126.980113","div127.980114","div128.980114","div129.980115","div130.980115","div131.980119","div132.980119","div133.980119","div134.980120","div135.980120","div136.980120","div137.980121","div138.980122","div139.980122","div140.980127","div141.980127","div142.980128","div143.980128","div144.980129","div145.980202","div146.980203","div147.980203","div148.980203","div149.980204","div150.980204","div151.980204","div152.980204","div153.980204","div154.980205","div155.980205","div156.980205","div157.980209","div158.980209","div159.980210","div160.980210","div161.980210","div162.980210","div163.980210","div164.980211","div165.980211","div166.980211","div167.980211","div168.980211","div169.980212","div170.980212","div171.980216","div172.980216","div173.980217","div174.980219","div175.980223","div176.980223","div177.980223","div178.980224","div179.980224","div180.980226","div181.980226","div182.980226","div183.980226","div184.980226","div185.980226","div186.980302","div187.980303","div188.980303","div189.980303","div190.980304","div191.980306","div192.980306","div193.980309","div194.980309","div195.980309","div196.980310","div197.980310","div198.980311","div199.980311","div200.980311","div201.980311","div202.980312","div203.980312","div204.980312","div205.980313","div206.980313","div207.980313","div208.980313","div209.980313","div210.980313","div211.980313","div212.980313","div213.980316","div214.980316","div215.980316","div216.980323","div217.980323","div218.980323","div219.980323","div220.980324","div221.980324","div222.980324","div223.980324","div224.980324","div225.980324","div226.980324","div227.980324","div228.980324","div229.980324","div230.980325","div231.980325","div232.980325","div233.980325","div234.980330","div235.980331","div236.980331","div237.980331","div238.980331","div239.980331","div240.980401","div241.980401","div242.980401","div243.980401","div244.980406","div245.980406","div246.980407","div247.980407","div248.980420","div249.980421","div250.980421","div251.980422","div252.980422","div253.980422","div254.980422","div255.980427","div256.980427","div257.980427","div258.980428","div259.980428","div260.980428","div261.980429","div262.980429","div263.980429","div264.980429","div265.980430","div266.980430","div267.980506","div268.980511","div269.980511","div270.980512","div271.980512","div272.980512","div273.980512","div274.980513","div275.980513","div276.980514","div277.980518","div278.980518","div279.980519","div280.980519","div281.980519","div282.980520","div283.980520","div284.980520","div285.980521","div286.980521","div287.980601","div288.980601","div289.980601","div290.980602","div291.980603","div292.980603","div293.980608","div294.980608","div295.980608","div296.980608","div297.980609","div298.980609","div299.980610","div300.980615","div301.980615","div302.980615","div303.980615","div304.980616","div305.980616","div306.980616","div307.980616","div308.980617","div309.980618","div310.980618","div311.980622","div312.980622","div313.980623","div314.980624","div315.980624","div316.980629","div317.980629","div318.980630","div319.980630","div320.980630","div321.980630","div322.980701","div323.980701","div324.980701","div325.980701","div326.980702","div327.980703","div328.980703","div329.980707","div330.980708","div331.980708","div332.980708","div333.980713","div334.980713","div335.980713","div336.980715","div337.980715","div338.980715","div339.980715","div340.980720","div341.980721","div342.980721","div343.980722","div344.980722","div345.980722","div346.980722","div347.980723","div348.980727","div349.980728","div350.980729","div351.980729","div352.980729","div353.980729","div354.980730","div355.980730","div356.980731","div357.980902","div358.980902","div359.980902","div360.980902","div361.980902","div362.981020","div363.981021","div364.981021","div365.981026","div366.981026","div367.981027","div368.981027","div369.981104","div370.981104","div371.981104","div372.981110","div373.981110","div374.981110","div375.981111","div376.981111","div377.981116","div378.981117","div379.981118","div380.981118","div001.981130","div002.981201","div003.981201","div004.981201","div005.981202","div006.981202","div007.981202","div008.981202","div009.981202","div010.981202","div011.981202","div012.981202","div013.981202","div014.981202","div015.981202","div016.981202","div017.981202","div018.981208","div019.981209","div020.981209","div021.981209","div022.981209","div023.981215","div024.981215","div025.981215","div026.981216","div027.981216","div028.981216","div029.990111","div030.990112","div031.990112","div032.990113","div033.990113","div034.990118","div035.990118","div036.990118","div037.990119","div038.990119","div039.990119","div040.990120","div041.990120","div042.990120","div043.990121","div044.990121","div045.990121","div046.990125","div047.990126","div048.990126","div049.990127","div050.990127","div051.990127","div052.990202","div053.990202","div054.990203","div055.990203","div056.990203","div057.990204","div058.990204","div059.990204","div060.990208","div061.990209","div062.990210","div063.990210","div064.990210","div065.990210","div066.990211","div067.990215","div068.990216","div069.990216","div070.990222","div071.990222","div072.990223","div073.990223","div074.990224","div075.990224","div076.990224","div077.990224","div078.990301","div079.990301","div080.990301","div081.990301","div082.990301","div083.990302","div084.990302","div085.990303","div086.990303","div087.990303","div088.990303","div089.990303","div090.990304","div091.990304","div092.990304","div093.990304","div094.990305","div095.990310","div096.990315","div097.990315","div098.990315","div099.990315","div100.990315","div101.990315","div102.990315","div103.990315","div104.990315","div105.990315","div106.990316","div107.990316","div108.990316","div109.990316","div110.990316","div111.990316","div112.990317","div113.990317","div114.990317","div115.990317","div116.990317","div117.990317","div118.990318","div119.990318","div120.990318","div121.990319","div122.990319","div123.990322","div124.990322","div125.990323","div126.990323","div127.990323","div128.990323","div129.990324","div130.990324","div131.990324","div132.990329","div133.990330","div134.990330","div135.990330","div136.990330","div137.990331","div138.990331","div139.990331","div140.990331","div141.990413","div142.990413","div143.990414","div144.990414","div145.990419","div146.990420","div147.990420","div148.990421","div149.990421","div150.990421","div151.990421","div152.990427","div153.990428","div154.990428","div155.990428","div156.990428","div157.990428","div158.990429","div159.990429","div160.990429","div161.990504","div162.990504","div163.990504","div164.990504","div165.990505","div166.990505","div167.990505","div168.990510","div169.990511","div170.990511","div171.990511","div172.990512","div173.990513","div174.990513","div175.990514","div176.990514","div177.990517","div178.990517","div179.990517","div180.990517","div181.990517","div182.990517","div183.990517","div184.990517","div185.990519","div186.990519","div187.990519","div188.990519","div189.990519","div190.990520","div191.990520","div192.990520","div193.990520","div194.990520","div195.990521","div196.990524","div197.990524","div198.990524","div199.990526","div200.990526","div201.990608","div202.990614","div203.990614","div204.990614","div205.990615","div206.990615","div207.990615","div208.990615","div209.990616","div210.990616","div211.990616","div212.990616","div213.990622","div214.990622","div215.990622","div216.990622","div217.990622","div218.990623","div219.990624","div220.990629","div221.990629","div222.990629","div223.990705","div224.990706","div225.990706","div226.990706","div227.990707","div228.990707","div229.990707","div230.990708","div231.990708","div232.990712","div233.990713","div234.990713","div235.990713","div236.990713","div237.990713","div238.990713","div239.990714","div240.990714","div241.990714","div242.990714","div243.990714","div244.990714","div245.990714","div246.990715","div247.990715","div248.990715","div249.990719","div250.990719","div251.990719","div252.990719","div253.990719","div254.990719","div255.990719","div256.990719","div257.990719","div258.990719","div259.990719","div260.990720","div261.990720","div262.990720","div263.990720","div264.990720","div265.990720","div266.990721","div267.990721","div268.990721","div269.990721","div270.990721","div271.990722","div272.990726","div273.990726","div274.991020","div275.991020","div276.991026","div277.991026","div278.991026","div279.991101","div280.991102","div281.991102","div282.991103","div283.991103","div284.991103","div285.991103","div286.991103","div287.991103","div288.991103","div289.991103","div290.991103","div291.991103","div292.991103","div293.991104","div294.991104","div295.991108","div296.991108","div297.991108","div298.991108","div299.991108","div300.991108","div301.991108","div302.991108","div303.991108","div304.991108","div305.991108","div306.991108","div307.991108","div308.991108","div309.991108","div310.991108","div311.991109","div312.991109","div313.991109","div314.991109","div315.991109","div316.991109","div317.991109","div318.991110","div319.991110","div320.991110","div321.991110","div322.991111","div323.991111","div001.991123","div002.991124","div003.991124","div004.991124","div005.991129","div006.991130","div007.991130","div008.991206","div009.991206","div010.991206","div011.991206","div012.991207","div013.991207","div014.991208","div015.991208","div016.991208","div017.991213","div018.991213","div019.991214","div020.991215","div021.991220","div022.991220","div023.991221","div024.000111","div025.000111","div026.000113","div027.000117","div028.000117","div029.000117","div030.000118","div031.000118","div032.000118","div033.000118","div034.000124","div035.000124","div036.000124","div037.000125","div038.000125","div039.000125","div040.000125","div041.000125","div042.000125","div043.000125","div044.000125","div045.000125","div046.000125","div047.000125","div048.000125","div049.000125","div050.000125","div051.000125","div052.000127","div053.000127","div054.000128","div055.000131","div056.000201","div057.000201","div058.000202","div059.000202","div060.000202","div061.000202","div062.000203","div063.000203","div064.000207","div065.000208","div066.000208","div067.000208","div068.000209","div069.000209","div070.000209","div071.000210","div072.000214","div073.000214","div074.000215","div075.000215","div076.000215","div077.000215","div078.000216","div079.000216","div080.000216","div081.000216","div082.000217","div083.000217","div084.000221","div085.000221","div086.000221","div087.000221","div088.000228","div089.000228","div090.000228","div091.000229","div092.000229","div093.000301","div094.000307","div095.000307","div096.000307","div097.000308","div098.000308","div099.000308","div100.000308","div101.000310","div102.000313","div103.000313","div104.000314","div105.000314","div106.000314","div107.000314","div108.000315","div109.000315","div110.000315","div111.000315","div112.000315","div113.000315","div114.000315","div115.000316","div116.000316","div117.000320","div118.000320","div119.000320","div120.000327","div121.000327","div122.000327","div123.000327","div124.000327","div125.000327","div126.000327","div127.000327","div128.000327","div129.000327","div130.000329","div131.000329","div132.000329","div133.000330","div134.000403","div135.000403","div136.000403","div137.000403","div138.000403","div139.000403","div140.000403","div141.000404","div142.000404","div143.000404","div144.000405","div145.000405","div146.000405","div147.000405","div148.000405","div149.000405","div150.000405","div151.000405","div152.000406","div153.000406","div154.000407","div155.000407","div156.000410","div157.000410","div158.000410","div159.000411","div160.000411","div161.000411","div162.000411","div163.000412","div164.000412","div165.000412","div166.000412","div167.000412","div168.000414","div169.000417","div170.000417","div171.000419","div172.000419","div173.000419","div174.000502","div175.000502","div176.000503","div177.000503","div178.000503","div179.000503","div180.000508","div181.000508","div182.000508","div183.000508","div184.000509","div185.000509","div186.000509","div187.000509","div188.000509","div189.000510","div190.000510","div191.000510","div192.000510","div193.000510","div194.000511","div195.000516","div196.000516","div197.000516","div198.000516","div199.000517","div200.000518","div201.000522","div202.000522","div203.000522","div204.000522","div205.000522","div206.000524","div207.000524","div208.000524","div209.000524","div210.000605","div211.000605","div212.000605","div213.000605","div214.000605","div215.000605","div216.000605","div217.000606","div218.000606","div219.000607","div220.000607","div221.000607","div222.000608","div223.000608","div224.000608","div225.000612","div226.000612","div227.000612","div228.000613","div229.000613","div230.000613","div231.000614","div232.000614","div233.000614","div234.000614","div235.000620","div236.000620","div237.000620","div238.000620","div239.000627","div240.000627","div241.000627","div242.000628","div243.000629","div244.000629","div245.000703","div246.000703","div247.000703","div248.000703","div249.000704","div250.000704","div251.000704","div252.000704","div253.000705","div254.000711","div255.000711","div256.000711","div257.000711","div258.000711","div259.000711","div260.000711","div261.000711","div262.000711","div263.000711","div264.000712","div265.000712","div266.000713","div267.000713","div268.000713","div269.000717","div270.000717","div271.000717","div272.000717","div273.000717","div274.000717","div275.000718","div276.000718","div277.000718","div278.000719","div279.000719","div280.000719","div281.000724","div282.000724","div283.000724","div284.000725","div285.000725","div286.000725","div287.000725","div288.000725","div289.000725","div290.000725","div291.000725","div292.000725","div293.000726","div294.000726","div295.000727","div296.000727","div297.000727","div298.000727","div299.001023","div300.001023","div301.001023","div302.001023","div303.001023","div304.001023","div305.001023","div306.001023","div307.001023","div308.001023","div309.001023","div310.001023","div311.001025","div312.001025","div313.001025","div314.001025","div315.001031","div316.001031","div317.001106","div318.001106","div319.001106","div320.001106","div321.001107","div322.001107","div323.001107","div324.001107","div325.001107","div326.001113","div327.001113","div328.001113","div329.001113","div330.001114","div331.001114","div332.001114","div333.001114","div334.001115","div335.001115","div336.001115","div337.001116","div338.001116","div339.001116","div340.001120","div341.001120","div342.001120","div343.001120","div344.001121","div345.001121","div346.001121","div347.001121","div348.001121","div349.001121","div350.001122","div351.001122","div352.001122","div353.001122","div354.001127","div355.001127","div356.001127","div357.001127","div358.001128","div359.001128","div360.001128","div361.001129","div362.001129","div363.001129","div364.001129","div365.001129","div366.001130","div367.001130","div001.001212","div002.001213","div003.001213","div004.001213","div005.001213","div006.001213","div007.001213","div008.001213","div009.001218","div010.001218","div011.001218","div012.001219","div013.001219","div014.001219","div015.001219","div016.001220","div017.001220","div018.001220","div019.001220","div020.001220","div021.001220","div022.001220","div023.001220","div024.001220","div025.001220","div026.001220","div027.001220","div028.001220","div029.001220","div030.001220","div031.001220","div032.010108","div033.010108","div034.010108","div035.010108","div036.010108","div037.010109","div038.010109","div039.010109","div040.010109","div041.010109","div042.010109","div043.010109","div044.010110","div045.010110","div046.010110","div047.010110","div048.010110","div049.010111","div050.010111","div051.010115","div052.010115","div053.010115","div054.010115","div055.010115","div056.010116","div057.010116","div058.010117","div059.010117","div060.010117","div061.010117","div062.010117","div063.010117","div064.010117","div065.010117","div066.010118","div067.010118","div068.010118","div069.010118","div070.010122","div071.010122","div072.010122","div073.010122","div074.010123","div075.010123","div076.010123","div077.010123","div078.010123","div079.010124","div080.010124","div081.010124","div082.010124","div083.010124","div084.010124","div085.010124","div086.010124","div087.010124","div088.010129","div089.010129","div090.010129","div091.010130","div092.010130","div093.010131","div094.010131","div095.010131","div096.010131","div097.010201","div098.010201","div099.010201","div100.010201","div101.010202","div102.010202","div103.010205","div104.010205","div105.010205","div106.010206","div107.010206","div108.010207","div109.010207","div110.010207","div111.010208","div112.010208","div113.010209","div114.010212","div115.010212","div116.010212","div117.010213","div118.010213","div119.010213","div120.010213","div121.010213","div122.010213","div123.010214","div124.010214","div125.010214","div126.010214","div127.010214","div128.010214","div129.010226","div130.010227","div131.010227","div132.010227","div133.010227","div134.010227","div135.010227","div136.010227","div137.010227","div138.010228","div139.010301","div140.010301","div141.010306","div142.010306","div143.010312","div144.010312","div145.010312","div146.010312","div147.010313","div148.010313","div149.010313","div150.010313","div151.010314","div152.010314","div153.010314","div154.010314","div155.010314","div156.010316","div157.010316","div158.010319","div159.010319","div160.010320","div161.010320","div162.010321","div163.010321","div164.010321","div165.010322","div166.010327","div167.010328","div168.010328","div169.010330","div170.010402","div171.010402","div172.010403","div173.010403","div174.010404","div175.010404","div176.010404","div177.010404","div178.010404","div179.010404","div180.010404","div181.010404","div182.010404","div183.010409","div184.010409","div185.010410","div186.010423","div187.010423","div188.010423","div189.010423","div190.010424","div191.010424","div192.010424","div193.010424","div194.010425","div195.010425","div196.010425","div197.010426","div198.010427","div199.010427","div200.010501","div201.010502","div202.010502","div203.010502","div204.010508","div205.010509","div206.010509","div207.010509","div208.010510","div209.010510"
"Abbott, Diane ","Lab","n","n","n","y","n","y","y","y","n","n","n","y","n","y","n","y","y","-","y","n","n","y","n","n","n","y","n","y","n","y","y","n","n","y","n","y","n","-","-","-","-","y","y","y","y","y","y","n","-","y","n","y","y","-","-","y","n","y","y","n","y","y","-","n","y","y","n","n","n","n","-","-","n","y","-","-","y","y","y","n","y","n","y","-","n","-","y","n","y","n","n","n","y","y","n","n","n","y","n","y","n","n","n","-","n","y","y","y","y","y","-","-","-","n","y","-","-","-","n","y","n","y","y","y","y","n","n","y","n","n","n","n","y","-","n","n","n","n","-","-","-","n","y","n","-","-","n","y","-","-","-","-","-","y","y","y","n","n","n","n","n","n","n","y","y","y","y","-","n","n","n","y","n","y","-","-","-","-","-","-","-","-","-","-","-","n","n","n","-","n","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","y","n","-","-","n","-","-","y","y","y","y","n","n","n","n","n","n","n","n","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","y","n","y","-","n","-","-","y","n","y","y","n","n","n","n","y","y","-","-","n","-","-","-","-","-","-","-","-","-","n","n","-","-","-","y","y","y","-","-","-","-","-","-","-","-","-","y","y","y","-","y","y","-","-","-","-","-","-","-","-","-","-","-","y","n","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","n","y","n","-","n","y","-","-","y","y","y","-","-","-","-","-","y","-","-","y","-","n","n","-","n","-","y","-","n","-","-","-","-","-","-","n","n","y","n","n","n","y","n","y","-","y","y","y","-","y","y","n","n","n","y","-","-","-","-","-","-","-","-","-","-","-","-","-","n","n","y","n","y","n","n","y","-","-","-","-","-","-","n","-","n","n","y","n","n","n","-","-","-","-","n","y","-","n","y","-","-","-","n","y","-","-","-","-","y","y","n","-","-","y","n","n","y","n","-","-","n","y","n","y","y","-","-","-","-","y","n","y","y","n","n","-","-","-","-","-","n","y","y","y","-","-","y","y","y","y","y","y","y","y","y","y","-","-","-","-","-","-","n","n","n","n","n","y","n","n","y","-","-","n","n","-","-","-","-","-","-","-","y","n","n","n","n","-","-","n","y","-","-","n","y","-","n","y","-","-","-","-","y","-","-","-","-","-","n","n","y","-","n","-","n","n","n","n","-","n","n","y","-","n","-","-","-","y","n","y","y","-","-","-","-","-","n","y","y","y","-","y","n","y","-","-","-","-","-","-","-","y","y","y","-","y","n","n","y","y","n","n","n","-","y","n","n","y","n","n","n","n","y","n","n","n","y","n","n","y","-","-","-","-","y","n","n","n","y","-","-","-","-","-","-","-","-","n","y","n","y","y","y","y","-","-","-","-","-","-","n","n","y","y","y","y","-","-","-","-","-","-","-","y","n","n","-","n","y","-","n","n","n","n","n","-","n","y","y","y","y","y","y","y","y","-","y","y","y","y","y","y","y","y","y","y","y","y","n","y","y","y","n","n","n","y","n","-","y","y","y","y","-","-","n","-","-","-","n","n","y","n","y","-","-","n","n","-","-","-","n","n","-","n","-","y","n","n","y","n","n","n","y","n","n","y","-","y","-","-","-","y","-","-","-","-","-","-","-","-","y","y","n","n","y","-","-","-","n","n","-","-","-","-","-","y","y","y","y","n","y","-","-","-","-","-","n","n","y","n","y","-","-","-","-","n","y","-","-","-","-","-","-","-","n","n","-","-","-","-","-","-","-","-","-","n","n","-","n","n","n","-","-","-","-","-","-","-","n","n","n","y","y","y","y","y","y","y","y","y","y","y","y","-","-","-","n","n","n","y","n","n","y","-","n","-","n","-","-","-","-","-","-","-","-","y","n","-","-","y","y","-","-","n","n","y","n","y","n","y","y","-","-","-","-","-","-","n","y","-","-","-","-","-","n","n","n","-","-","-","n","n","n","-","-","-","-","n","n","n","-","-","-","n","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","y","-","-","-","n","n","y","n","n","n","n","n","n","-","-","-","-","-","-","-","-","n","n","n","n","n","y","-","-","-","-","-","-","-","-","-","y","y","n","y","-","y","y","y","-","-","-","-","n","y","-","-","y","n","n","y","-","-","-","n","n","n","-","y","y","y","-","-","-","-","-","-","n","n","n","-","y","-","y","n","-","n","n","y","n","n","y","-","-","-","-","-","y","n","y","-","-","-","n","-","-","-","-","y","-","-","-","-","-","-","n","y","-","-","-","n","-","-","-","-","-","-","y","n","y","y","y","y","y","-","-","-","-","n","y","y","y","n","y","y","n","n","n","-","-","-","-","-","-","y","n","-","-","-","-","-","-","-","y","y","y","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","y","y","y","-","-","y","y","-","-","-","n","y","-","-","n","n","y","n","n","y","n","y","n","y","n","y","y","y","n","y","-","n","y","y","y","y","y","y","n","y","n","y","y","y","y","y","n","y","y","y","-","-","-","-","-","-","-","n","n","y","y","y","y","-","-","y","y","-","n","n","y","y","n","y","y","y","-","-","-","-","-","-","-","-","y","n","n","n","n","n","y","-","-","-","-","-","-","-","-","-","-","y","y","y","n","n","y","y","n","-","-","-","n","y","n","y","-","-","-","-","-","y","-","-","-","y","-","y","-","-","-","-","-","-","-","-","-","y","y","y","-","-","-","-","-","-","n","n","-","n","-","-","-","-","n","-","-","-","-","-","n","y","-","-"
"Adams, Irene (Pai)","Lab","-","n","n","y","n","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","y","n","n","n","y","n","y","-","-","-","-","-","-","-","-","-","y","n","n","y","y","y","y","y","y","y","n","n","y","n","-","y","-","-","y","n","y","y","n","y","y","-","n","y","-","-","-","-","-","-","-","-","-","y","y","-","-","-","-","-","-","-","-","n","y","y","n","y","n","n","n","y","y","n","n","n","y","n","y","n","n","n","n","n","y","-","-","-","-","n","n","n","n","n","y","y","n","-","y","-","-","-","-","-","n","n","y","n","-","-","-","-","n","n","n","-","-","-","-","n","n","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","y","n","n","n","n","n","n","n","n","n","y","n","-","-","-","-","-","-","-","n","-","-","-","-","-","-","-","-","n","n","y","-","-","-","-","-","-","-","-","n","y","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","n","n","-","n","y","n","n","n","y","n","n","y","y","-","n","y","y","n","n","y","y","n","y","y","n","n","n","n","y","y","n","-","n","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","n","y","n","n","n","-","-","-","-","-","-","-","-","-","-","-","n","n","y","y","n","n","-","y","n","n","n","y","n","n","-","n","n","n","y","y","y","-","-","-","-","n","-","-","-","n","n","y","y","y","y","-","-","n","n","-","n","n","y","n","y","y","-","n","n","y","-","-","y","n","y","y","-","-","n","-","-","-","n","y","n","-","n","y","-","y","n","y","y","y","-","y","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","n","y","n","y","n","n","y","-","-","-","-","-","-","-","-","-","n","y","n","n","n","y","n","y","-","n","y","-","n","y","n","n","y","n","y","n","n","y","y","y","y","-","-","-","-","-","-","-","-","n","n","n","y","n","y","y","n","n","y","-","y","n","y","y","n","n","n","n","y","y","y","n","y","y","y","-","y","y","y","y","y","y","y","y","y","y","y","y","y","y","y","y","y","n","n","n","n","n","y","n","n","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","y","n","y","-","n","y","n","y","n","y","y","n","n","y","n","y","n","-","-","-","-","-","-","n","n","n","-","n","n","y","y","n","-","-","-","-","n","y","y","n","n","y","y","n","n","y","y","y","y","n","n","y","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","y","n","n","y","y","y","n","n","y","n","n","n","n","y","n","n","n","y","-","-","-","-","-","-","-","y","n","n","n","y","y","n","n","n","y","n","-","n","n","y","n","y","-","-","-","-","-","-","-","-","-","-","n","y","y","y","y","y","y","y","y","y","y","-","-","n","n","n","n","y","-","n","y","y","y","y","y","y","y","y","y","y","y","y","y","y","-","-","-","-","-","y","y","y","y","y","y","y","y","n","y","y","y","y","y","y","y","y","n","y","y","y","y","y","y","-","n","n","y","-","-","-","-","-","-","-","-","-","n","y","n","n","n","n","n","n","y","n","-","-","-","n","n","y","n","n","y","-","-","-","-","-","y","-","n","n","n","n","y","n","n","y","y","n","n","y","n","y","-","-","n","n","-","n","n","n","-","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","y","n","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","n","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","y","n","n","y","n","y","y","y","y","y","-","-","-","n","n","n","n","n","n","n","n","n","n","y","n","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","y","y","n","y","n","y","-","n","y","-","-","-","-","-","-","-","n","n","n","n","n","n","n","n","y","-","n","-","n","n","n","y","-","-","-","-","n","n","y","n","n","y","y","n","y","y","y","y","y","y","y","y","n","n","y","y","-","-","-","-","-","-","-","-","n","n","n","y","-","y","y","y","y","y","y","y","n","y","y","y","n","y","y","-","-","-","n","n","n","n","n","n","n","n","n","n","n","y","n","y","n","y","n","n","n","y","n","y","-","-","y","y","y","-","-","-","-","-","-","-","-","-","y","y","n","n","n","-","-","-","n","y","y","n","y","y","y","y","n","y","y","y","n","-","-","n","y","y","y","y","y","y","y","-","y","-","-","-","-","-","n","n","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","y","y","y","y","y","n","-","y","y","n","n","y","n","n","y","n","y","n","y","-","-","-","-","-","-","-","-","-","y","y","y","y","y","n","y","n","y","-","-","-","y","n","y","y","y","y","n","y","n","y","-","-","n","n","y","y","y","y","y","n","y","y","-","n","n","y","-","-","-","y","y","y","y","n","n","y","y","y","y","y","n","n","n","n","n","y","n","y","n","-","y","y","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","n","y","n","y","n","y","n","y","-","-","-","-","-","y","y","y","y","y","y","n","y","n","y","y","y","y","y","-","-","y","y","n","n","n","n","n","-","-","-","-","-","-","n","-","-","-","-","-","-","-","-","-"
