"","coord1D","coord2D"
"Legislator 135",0.870395555944682,-0.155598998969446
"Legislator 136",-0.403486897325081,-0.0645404931926544
"Legislator 137",0.275333552348253,0.635130825513122
"Legislator 138",-0.394550566149832,0.0149536586986879
"Legislator 139",-0.50456627552078,-0.17200125747282
"Legislator 140",0.902547426733942,-0.101946698651847
"Legislator 141",-0.401950025405525,-0.0828205255444494
"Legislator 142",-0.437726113244211,-0.0820252243659641
"Legislator 143",-0.310282322996176,0.0423110062510909
"Legislator 144",-0.372625104935007,0.0449249316360717
"Legislator 145",-0.413732110258214,-0.00184790345759773
"Legislator 146",-0.34331325033628,-0.0997573794556814
"Legislator 147",-0.434420847837285,-0.0632961084709256
"Legislator 148",-0.406413332285345,-0.0727500145306305
"Legislator 149",0.274499305805019,0.860528373596983
"Legislator 150",0.907051962353739,-0.0890066221584743
"Legislator 151",-0.410852033460377,-0.0903110763869019
"Legislator 152",0.0224561967644949,0.922565383735883
"Legislator 153",-0.386378509282979,0.0864827104706832
"Legislator 154",-0.403440147861645,-0.0701412525623831
"Legislator 155",-0.394528343645844,-0.0273190213034495
"Legislator 156",0.258053790403678,0.692434499347006
"Legislator 157",-0.39952697407509,-0.0491700544390709
"Legislator 158",-0.376898258402316,0.030416625639003
"Legislator 159",-0.343654810504514,-0.0632485898402978
"Legislator 160",-0.385745084415687,-0.0730723403882427
"Legislator 161",0.910480270778135,-0.100110565248417
"Legislator 162",-0.393885123778004,-5.63785129692462e-17
"Legislator 163",0.887816075676177,-0.11400123391046
"Legislator 164",-0.354808719741766,0.0482856117190355
"Legislator 165",-0.402757088168283,-0.0139438087434055
"Legislator 166",0.873750541738915,-0.14164100894348
"Legislator 167",-0.43814746777358,-0.0669666158398463
"Legislator 168",-0.412678531967049,-0.0946687715128319
"Legislator 169",-0.403394113510357,-0.0610895061365482
"Legislator 170",-0.424902607851145,-0.045492732656147
"Legislator 171",-0.362005755730468,0.0109968786656435
"Legislator 172",-0.403486897325082,-0.0614634255612131
"Legislator 173",0.728941798844974,-0.175795234335096
"Legislator 174",-0.460732759897633,-0.0963968435350376
"Legislator 175",-0.405560382048794,-0.042569368478009
"Legislator 176",0.910291504188979,-0.0923234620190939
"Legislator 177",-0.41910625099453,-0.0866722679601118
"Legislator 178",-0.464538130116655,-0.166751039568608
"Legislator 179",-0.409732591001982,-0.0193980176779917
"Legislator 180",0.911691149121715,-0.118949987990157
"Legislator 181",0.851815929324893,-0.115799075797885
"Legislator 182",-0.286909689122065,0.0449890840009223
"Legislator 183",-0.403486897325082,-0.0766481561975884
"Legislator 184",-0.394919567563497,-0.0671897343766461
"Legislator 185",-0.390443891085748,-0.026871548333184
"Legislator 186",-0.405560382048793,-0.0302548003050667
"Legislator 187",-0.450316872455783,-0.162061408447922
"Legislator 188",0.90043105939547,-0.0825738099232086
"Legislator 189",-0.420543796445448,-0.114644693020589
"Legislator 190",-0.402524562902121,0.0688162320874765
"Legislator 191",0.886649501724076,-0.128522181211148
"Legislator 192",0.0517892866283601,0.936555234796488
"Legislator 193",0.898930268796578,-0.148547350622529
"Legislator 194",0.885710568413903,-0.0769134619940412
"Legislator 195",0.909139637347399,-0.118414500177291
"Legislator 196",-0.393885123778004,-5.63785129692462e-17
"Legislator 197",0.21491319416322,0.670379934879119
"Legislator 198",-0.245169254671642,-0.0770049751931081
"Legislator 199",-0.30154404228868,0.0168538174127531
"Legislator 200",-0.395750039747985,-0.0674874724458837
"Legislator 201",-0.401213812443189,-0.0553424499054264
"Legislator 202",0.885250232718001,-0.132321722319711
"Legislator 203",-0.386427700822414,-0.072018426139906
"Legislator 204",-0.335484073342338,0.0440883835995119
"Legislator 205",-0.403486897325081,-0.0291559869256507
"Legislator 206",0.707948912619227,-0.187407795463207
"Legislator 207",0.931789888905135,-0.104578263568472
"Legislator 208",-0.452791570648423,-0.162144118057695
"Legislator 209",0.269793237621528,0.668572618879851
"Legislator 210",-0.420272287493507,1.45174670895809e-16
"Legislator 211",-0.386346234438618,-0.0720131750780976
"Legislator 212",-0.396382222899758,-0.0766929756020931
"Legislator 213",0.87564612140768,-0.179928511726515
"Legislator 214",0.904965782358344,-0.113759150820941
"Legislator 215",0.908976737579434,-0.0935314794665152
"Legislator 216",-0.371906686624171,0.0343485022230616
"Legislator 217",-0.442797297619925,-3.75350792114482e-16
"Legislator 218",0.877388854568144,-0.159888210505304
"Legislator 219",-0.361112558671882,-0.0336089042702479
"Legislator 220",-0.403825399725621,-0.0705424609602732
"Legislator 221",-0.393577370861798,-0.0546900141305186
"Legislator 222",0.901856387989201,-0.103122653458878
"Legislator 223",0.263663440287118,0.690130111176469
"Legislator 224",-0.394991845792298,-0.0730943978491644
"Legislator 225",-0.395905641930302,0.0550936968661089
"Legislator 226",0.908342445760993,-0.0868205767264872
"Legislator 227",-0.388001814007811,-0.00345909373999693
"Legislator 228",0.241546176580267,0.684050083948061
"Legislator 229",0.884984494676628,-0.14287194557577
"Legislator 230",0.910841091383361,-0.0930066303035729
"Legislator 231",-0.40429338548767,-0.0757226697625237
"Legislator 232",-0.369849336435765,0.0452558680934953
"Legislator 233",-0.560207008430468,-0.206779201991754
"Legislator 234",-0.414513280316022,-0.0651643641499045
"Legislator 235",-0.402814043518693,-0.0140291579062982
"Legislator 236",0.884830981949464,-0.093484927537449
"Legislator 237",-0.415003056357763,-0.0253482100792514
"Legislator 238",0.917175882784131,-0.0922192235692312
"Legislator 239",0.299294291951999,0.792966200623777
"Legislator 240",-0.25307984044388,-0.0183108799291562
"Legislator 241",-0.379140176913251,0.0858183587727927
"Legislator 242",0.884120271131087,-0.1165435682028
"Legislator 243",0.893369025500798,-0.124895468202822
"Legislator 244",0.895296563661482,-0.126725179990596
"Legislator 245",0.886468963126172,-0.114661840853357
"Legislator 246",-0.409732591001982,-0.0193980176779917
"Legislator 247",-0.403486897325082,-0.052605005401219
"Legislator 248",-0.419505796558212,-0.0689055231794139
"Legislator 249",-0.405560382048795,-0.0838494388975045
"Legislator 250",-0.414301051781052,-0.0172572498770914
"Legislator 251",0.894215424904504,-0.0863822451150733
"Legislator 252",-0.404048305239167,-0.0622731185665906
"Legislator 253",0.887634608291642,-0.114589768421722
"Legislator 254",-0.403486897325082,-0.0993218071138058
"Legislator 255",-0.40348689732508,-0.0776321402846051
"Legislator 256",-0.409638558223937,-0.0208284215127688
"Legislator 257",0.902159336910622,-0.0835074259301769
"Legislator 258",-0.403486897325083,-0.0325169629948368
"Legislator 259",0.890300533953554,-0.140623061892296
"Legislator 260",0.229749199957805,0.717448387879998
"Legislator 261",-0.387071820492258,-0.0647646066874478
"Legislator 262",-0.403486897325083,-1.34007388519208e-16
"Legislator 263",0.295044258045468,0.704185862871423
"Legislator 264",0.32490678155501,0.669705625131835
"Legislator 265",0.911077366057962,-0.099323202091346
"Legislator 266",0.862307637150182,-0.150106578024669
"Legislator 267",-0.403486897325081,-0.0645404931926544
"Legislator 268",0.860286721443428,-0.156759410401469
"Legislator 269",-0.451548086270764,-0.095238136432941
"Legislator 270",0.29879328083926,0.731551295940055
"Legislator 271",0.833418027721303,0.226515593555509
"Legislator 272",0.893409149705035,-0.13274667244015
"Legislator 273",-0.48370548443025,-0.0824867403935306
"Legislator 274",-0.420272287493507,1.45174670895809e-16
"Legislator 275",-0.43130058468992,-2.81892564846231e-17
"Legislator 276",-0.405539541924582,-0.0617985483393245
"Legislator 277",-0.458066313018869,-0.103858699410075
"Legislator 278",0.961488127277783,-0.0341105409926699
"Legislator 279",-0.401974820515455,-0.0570107639399735
"Legislator 280",-0.402326947856182,-0.159895379186767
"Legislator 281",-0.386898862919496,-0.0585260199335395
"Legislator 282",-0.422663763406397,0.00856944942279118
"Legislator 283",-0.461409161947943,-0.101396444951256
"Legislator 284",-0.403454422931917,-0.185886644795398
"Legislator 285",0.905033047445329,-0.0750906483831729
"Legislator 286",-0.390321861811881,-0.0780284475684487
"Legislator 287",-0.406253290561025,-0.036817908073777
"Legislator 288",-0.403486897325082,-0.0505421748298751
"Legislator 289",-0.405560382048794,-0.0318019479518198
"Legislator 290",-0.38009956112296,0.0931716489997569
"Legislator 291",0.900139023302281,-0.116467451395906
"Legislator 292",0.910107950187194,-0.100011742411363
"Legislator 293",-0.416391673689314,-0.0637155256809373
"Legislator 294",-0.424500527911373,-0.0867328103633972
"Legislator 295",0.91885257627871,-0.169711818124673
"Legislator 296",-0.403486897325082,-0.0713000158686199
"Legislator 297",-0.423223930959849,-0.0727407337921802
"Legislator 298",-0.415728398570779,-0.0826180323804238
"Legislator 299",-0.405560382048793,-0.0766966371977055
"Legislator 300",0.241907524693982,0.726876158514177
"Legislator 301",-0.414653491461079,-0.0779649075385637
"Legislator 302",0.951243364349635,-0.114991209536837
"Legislator 303",-0.424191971884865,-0.0453977203268254
"Legislator 304",-0.394601587168222,-0.0668062673962611
"Legislator 305",-0.403616879215433,0.00122261257113869
"Legislator 306",-0.389129255370072,-0.0119671776179012
"Legislator 307",-0.420272287493506,-0.123327023022427
"Legislator 308",0.878085408911727,-0.108989196934872
"Legislator 309",-0.414173140278133,-0.0814844051646473
"Legislator 310",-0.393998622479818,-0.0271231314895714
"Legislator 311",0.889614719990857,-0.109919312793763
"Legislator 312",-0.408975547628528,-0.0841378367858131
"Legislator 313",0.878598496631844,-0.0981020134408905
"Legislator 314",-0.405213382573221,-0.0699968540777788
"Legislator 315",0.898622342475064,-0.0951416481702428
"Legislator 316",-0.394919567563227,-0.0671897343761931
"Legislator 317",-0.452494367912712,-0.0964313598908397
"Legislator 318",-0.46740454336064,-0.174599717638644
"Legislator 319",-0.42613718127886,-0.0631922758937656
"Legislator 320",-0.403779116887524,-0.0717166968006437
"Legislator 321",0.00865055583971115,0.852900468424567
"Legislator 322",-0.36957348221988,0.0719950042013304
"Legislator 323",-0.504093457134892,-0.16445845189144
"Legislator 324",-0.371912730127234,0.101154195654096
"Legislator 325",-0.388777177412469,-0.0693921967460902
"Legislator 326",0.253581844435821,0.677313143389894
"Legislator 327",-0.40348689732508,-0.0701694050486603
"Legislator 328",-0.402084903619031,1.19045398538908e-16
"Legislator 329",-0.424127639850204,-0.0737490975345911
"Legislator 330",-0.431324037789381,-0.0867218353987992
"Legislator 331",-0.430037889211709,-0.0130502633346273
"Legislator 332",-0.43300478663199,-0.075514865431244
"Legislator 333",0.315113578617714,0.643915280752955
"Legislator 334",-0.405912356103029,-0.0628433304647092
"Legislator 335",-0.403486897325082,-0.0733671908883402
"Legislator 336",0.293586999248433,0.79808391679439
"Legislator 337",-0.386442464869148,-0.0625537373385514
"Legislator 338",0.886776384084629,-0.0925377971964953
"Legislator 339",-0.425190833817197,-0.12562551417492
"Legislator 340",-0.407604367818806,-0.0387594219319763
"Legislator 341",-0.421410055329038,-0.123897156748081
"Legislator 342",-0.404719928855157,-0.0678278174746479
"Legislator 343",-0.431231998731268,-0.0834398434453711
"Legislator 344",0.903720297400002,-0.102573728456755
"Legislator 345",-0.341599801460303,0.0691705281892488
"Legislator 346",0.932466902862479,-0.0791247197319557
"Legislator 347",0.290045187564523,0.741593382739292
"Legislator 348",-0.396593467718915,-0.0259762751090823
"Legislator 349",-0.405821134401992,-0.0393378097946339
"Legislator 350",0.864696908240319,-0.110308279125993
"Legislator 351",0.904234266161417,-0.101792512385851
"Legislator 352",-0.46677718356028,-0.0972563233299335
"Legislator 353",0.901402148355213,-0.0937046382122635
"Legislator 354",-0.416878116846076,-0.0506656554043154
"Legislator 355",-0.414301051781052,-0.0172572498770914
"Legislator 356",0.910803534179252,-0.139025642025863
"Legislator 357",-0.438702427270914,-0.039056339871627
"Legislator 358",-0.403486897325081,-0.058725377393757
"Legislator 359",0.898218614562992,-0.110683688682384
"Legislator 360",-0.383721185101436,-0.0602792990837845
"Legislator 361",-0.44521734777943,-0.111361658947753
"Legislator 362",0.887101914982766,-0.113773526916663
"Legislator 363",-0.366711398588022,0.00652609908895739
"Legislator 364",-0.419058019704111,-0.0866143626950686
"Legislator 365",0.882351277741906,-0.14132786771661
"Legislator 366",0.882182072811843,-0.120857376603551
"Legislator 367",-0.42837855911553,-0.0462440869552207
"Legislator 368",-0.333379125552375,0.116112122533217
"Legislator 369",0.312867070116336,0.746240680463978
"Legislator 370",0.856936499378745,-0.150981582588828
"Legislator 371",-0.441844860358313,-0.0693207265494391
"Legislator 372",0.196445981656361,0.652878938754216
"Legislator 373",-0.397794712738143,-0.0706565499501103
"Legislator 374",0.882548376478058,-0.148513258059316
"Legislator 375",-0.405560382048793,-0.0326484967965828
"Legislator 376",0.882646500291325,-0.136006080452243
"Legislator 377",0.889746982733882,-0.0948279178354081
"Legislator 378",0.90810238648084,-0.0837348856143264
"Legislator 379",-0.415728431224391,-0.0826180587420486
"Legislator 380",-0.440103310112612,-0.0849960330288314
"Legislator 381",0.872097087492441,-0.134278799230399
"Legislator 382",-0.406429483031015,-0.0292707892259753
"Legislator 383",0.888899283450134,-0.111734975517941
"Legislator 384",0.314738575588945,0.686628547669096
"Legislator 385",-0.419615129071668,-0.0576260384760415
"Legislator 386",0.90860097514,-0.087275808620012
"Legislator 387",0.702300030077168,-0.569454328012876
"Legislator 388",-0.371347099052745,0.0503998629680415
"Legislator 389",0.879607723083539,-0.0899802327459537
"Legislator 390",0.888333519850764,-0.149469389788375
"Legislator 391",-0.403486897325082,-0.0571570978355958
"Legislator 392",-0.437116964137088,-0.0883330885850655
"Legislator 393",0.910316940239315,-0.0891432472513452
"Legislator 394",-0.286474672240881,0.022175463766226
"Legislator 395",-0.424620211282466,-0.0458581293401062
"Legislator 396",-0.499654785666195,-0.205675990178394
"Legislator 397",-0.342449780186251,-0.0372811545782959
"Legislator 398",-0.321300093147138,0.0761464603812185
"Legislator 399",-0.381057365150292,0.0981929736211598
"Legislator 400",-0.394285726712358,-0.0821479909863218
"Legislator 401",0.898811793334606,-0.103792823796345
"Legislator 402",0.863648936842415,-0.157470136977405
"Legislator 403",0.913359987756458,-0.116955745769533
"Legislator 404",-0.414301051781052,-0.0172572498770914
"Legislator 405",0.892554408701937,-0.145632990342745
"Legislator 406",-0.385589556002762,0.126763860737953
"Legislator 407",-0.392852686831433,-0.0674750612049143
"Legislator 408",-0.43663720687698,-0.057767591903985
"Legislator 409",-0.394466021064557,-0.0198760388991455
"Legislator 410",-0.403486897325081,-0.0607537917217655
"Legislator 411",0.770980091877102,-0.297130638847964
"Legislator 412",0.735066269662746,-0.134088252280856
"Legislator 413",-0.403440147861646,-0.0585163345411583
"Legislator 414",-0.357203934461942,0.15085452686101
"Legislator 415",-0.403486897325083,-0.0509892384489141
"Legislator 416",-0.466941273677591,0.280889882482429
"Legislator 417",-0.394237922163176,-0.0292847502130516
"Legislator 418",0.891043899733116,-0.112002149190611
"Legislator 419",-0.420272287493506,-0.0711467740762306
"Legislator 420",-0.423099831532503,-0.107944813946067
"Legislator 421",-0.394384086646035,-0.0546196899265439
"Legislator 422",0.867890685374004,-0.165361905081372
"Legislator 423",-0.304381790317793,0.0954810112444707
"Legislator 424",-0.382894010074219,-0.0584345258740353
"Legislator 425",-0.460971496896567,-0.0924434937966317
"Legislator 426",-0.406118949979295,-0.0342337546788388
"Legislator 427",-0.40348689732508,-0.0696122118817595
"Legislator 428",-0.403779115564283,-0.0717166952973499
"Legislator 429",0.661973296928554,-0.364522588738785
"Legislator 430",-0.405560382048793,-0.0766966371977055
"Legislator 431",-0.384633100762952,-0.0762820989188656
"Legislator 432",-0.396450197358161,0.0694562682601465
"Legislator 433",0.322476564672579,0.708395692057234
"Legislator 434",-0.403486897325081,-0.0645404931926544
"Legislator 435",-0.399827850522449,-0.0313831377127732
"Legislator 436",-0.235353337518247,-0.0120951700081312
"Legislator 437",-0.403486897325081,-0.0493557625562791
"Legislator 438",-0.442610196296087,-0.104208596860051
"Legislator 439",0.316473633457685,0.640564168790315
"Legislator 440",-0.409732591001982,-0.0193980176779917
"Legislator 441",0.0771673582308038,0.800587272432348
"Legislator 442",-0.38383697139486,-0.00923952879365976
"Legislator 443",-0.386392189293411,-0.0953370468739638
"Legislator 444",-0.395077561547027,-0.0673802357604958
"Legislator 445",-0.403486897325081,-0.0772053493644892
"Legislator 446",-0.409732591001982,-0.0193980176779917
"Legislator 447",0.883201293828572,-0.146111208424091
"Legislator 448",-0.403486897325082,-0.023098257086831
"Legislator 449",-0.507717306847591,-0.197408660722386
"Legislator 450",-0.427601652703461,-0.0981942485092585
"Legislator 451",-0.447904322409162,-0.0906974655407629
"Legislator 452",-0.360560479723374,-0.0418081522329957
"Legislator 453",-0.428518936668539,-0.107700478364583
"Legislator 454",-0.429982201358,-0.0139786849226599
"Legislator 455",-0.415003056357763,-0.0253482100792514
"Legislator 456",0.901442031853611,-0.126714232984125
"Legislator 457",0.893024520769218,-0.124589691663629
"Legislator 458",-0.416699197615179,-0.0492768198587971
"Legislator 459",-0.393278392467883,-0.0444118862109379
"Legislator 460",0.871863176163076,-0.141108252704856
"Legislator 461",-0.432054077847325,-0.158765223612335
"Legislator 462",-0.379500963625743,-0.0411715989553091
"Legislator 463",-0.390535351762352,-0.0141142359075849
"Legislator 464",0.297451764833345,0.69970543801666
"Legislator 465",-0.381293850215548,-0.0441089561776658
"Legislator 466",0.324440096297074,0.62662983880001
"Legislator 467",-0.431960424662174,-0.0503235404776983
"Legislator 468",-0.403486897325081,-0.0753771482450648
"Legislator 469",0.87951634795266,-0.11312978388479
"Legislator 470",0.872873754675756,-0.175219210516842
"Legislator 471",0.883813309390556,-0.12099423100883
"Legislator 472",0.83527895501168,-0.268087605466008
"Legislator 473",-0.402398845999159,-0.0142256846199356
"Legislator 474",0.899385596597986,-0.14263857068944
"Legislator 475",-0.387597824957258,-0.0588110192930477
"Legislator 476",-0.403486897325081,-0.116396135831437
"Legislator 477",-0.403486897325081,-0.037103153056058
"Legislator 478",0.886263671583481,-0.128129906191893
"Legislator 479",-0.415804674041352,-0.0489246798126698
"Legislator 480",-0.404162452586917,-0.0338300843401018
"Legislator 481",-0.426516751163191,-0.0333092225724544
"Legislator 482",-0.540106679087283,-0.220711103783229
"Legislator 483",-0.415143234826164,-0.0617512482090725
"Legislator 484",-0.387666809424694,-0.066405779963665
"Legislator 485",0.856387125056059,-0.0738116495700952
"Legislator 486",-0.401513828383753,-0.0300069045437859
"Legislator 487",-0.462627027629008,-0.172269561562465
"Legislator 488",-0.417657257376435,-0.086376379147366
"Legislator 489",-0.365025450555885,0.0508790267323218
"Legislator 490",-0.403440147861645,-0.0760594814562466
"Legislator 491",-0.43462586250074,-0.0823941578962348
"Legislator 492",0.875862110377244,-0.0906025055211562
"Legislator 493",-0.414199523650648,-0.0371791847376257
"Legislator 494",-0.437888232379382,-0.0995353619086119
"Legislator 495",-0.405560382048795,-0.063610946784763
"Legislator 496",-0.425632135030379,-0.0841103770853059
"Legislator 497",-0.409732591001982,-0.0193980176779917
"Legislator 498",-0.431095218556575,2.77013655070046e-17
"Legislator 499",0.871068688551196,-0.145010917710797
"Legislator 500",-0.401394841673713,-0.0351130327226364
"Legislator 501",-0.405323292889891,-0.0699324849262191
"Legislator 502",0.910634984106329,-0.121781037422713
"Legislator 503",-0.387087698203056,-0.0645935010387747
"Legislator 504",-0.411654141016392,-0.10156847629585
"Legislator 505",0.238540551257681,0.736193651428854
"Legislator 506",0.919884807660516,-0.118548896801996
"Legislator 507",-0.519943723761388,-0.22291711668905
"Legislator 508",-0.43130058468992,-2.81892564846231e-17
"Legislator 509",0.886566693143742,-0.163722434864182
"Legislator 510",-0.403486897325082,-0.0825888943948105
"Legislator 511",0.785874052327229,-0.306403541260001
"Legislator 512",-0.403486897325081,-0.0772053493644892
"Legislator 513",0.900139023302282,-0.120220959462179
"Legislator 514",-0.352768147764727,-0.06706089234789
"Legislator 515",-0.404561703614719,-0.0849243778942349
"Legislator 516",-0.386418181190715,-0.0727618783690011
"Legislator 517",-0.403486897325082,-0.0344728111640359
"Legislator 518",0.85404293934857,0.0822797930164972
"Legislator 519",0.891776963247757,-0.0768113411153375
"Legislator 520",-0.343525823507491,-0.0632074801196085
"Legislator 521",-0.408220703147589,-0.10585277242277
"Legislator 522",-0.424957456789283,-0.0761890588620688
"Legislator 523",-0.409732591001982,-0.0193980176779917
"Legislator 524",0.883575008011619,-0.133611988621879
"Legislator 525",0.255950890439159,0.624653813720946
"Legislator 526",-0.405560382048794,-0.0666236125999011
"Legislator 527",-0.404048305239166,-0.0532926069102966
"Legislator 528",0.330432492448075,0.797153473928775
"Legislator 529",-0.405869911503816,-0.0175177154380483
"Legislator 530",0.263680145405348,0.670370705498498
"Legislator 531",-0.442797297619924,-0.0359550723276411
"Legislator 532",-0.409638558223937,-0.0208284215127688
"Legislator 533",-0.422670984586376,-0.0424220038420554
"Legislator 534",0.884065017982657,-0.132530763480027
